County Name,Assessor Data Access,Tax Collector Data,Recorder Data,Parcel Maps,Auction Platform,Auction Schedule,Legacy Data Availability,Connector Status,Complications,Data Quality Score,Cost/Access Notes,Reconciliation Monitoring,Excess Proceeds Handling,Bot Protection Type,Recorder Search Mode,Owner Lookup Legal Restriction,Official Document Source,Last Verified Date,Parcel/APN Source Availability,Assessor Source Availability,Tax-Default/Delinquency Source Availability,Recorder/Index Availability,Tax-Sale/Auction-List Availability,Redemption/Sale-Outcome Detection,Source Format,Evidence/Provenance Availability,Automation Difficulty,Inventory & Buyer-Fit Estimate,Status (Green/Yellow/Red/Unknown),Exact Blocker / Next Validation Step
Alameda,Not tested tonight,"treasurer.acgov.org/tax-defaulted-land/ exists, but latest linked doc is '2023 Tax Defaulted Land Auction Results' - not current",Not tested tonight,Unknown,"Bid4Assets - confirmed real listings exist (storefront/AlamedaMar26 = March 2026 auction, storefront/AlamedaMay20 = May 20 re-offer) but plain WebFetch got HTTP 403 - Bid4Assets appears to block basic fetches","March 2026 auction + May 20, 2026 re-offer (both real, per Bid4Assets storefront URLs) - not yet confirmed with parcel-level detail",,Not started,"HELD UP: Bid4Assets storefront pages return 403 to plain WebFetch - likely needs a real/stealth browser (same as other bot-protected sites tonight), not yet tried with Playwright. Treasurer's own page is stale (2023).",Unknown - real sources exist but not yet extracted,Unknown,Not built,"Real Board of Supervisors agenda PDFs found for Feb 10 and May 12, 2026 (board actions on excess proceeds from 2021-2022 sales) - NOT a current parcel-level list, would need to open the actual PDFs",Bid4Assets blocks plain fetch (403) - untested with stealth browser,Unknown,Unknown,"PARTIAL - real 2026 Board agenda PDFs exist referencing excess proceeds, not yet opened/parsed",2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,"CONFIRMED NOT on {slug}countyca-web.tylerhost.net pattern (DNS fails) - may use a different naming convention, not ruled out entirely","CONFIRMED REAL - Bid4Assets, March 2026 auction + May 20 2026 re-offer (storefront URLs exist, still 403 on plain fetch)",Unknown - not tested,GIS/API (ArcGIS),"Real 2026 Board of Supervisors PDFs on excess-proceeds hearings exist, not yet opened","Unknown - Bid4Assets access itself is the open question (see Exception Log, severity: high, affects many counties)",Unknown - not tested,Yellow,Retry Bid4Assets storefront with stealth browser instead of plain fetch
Alpine,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,Nothing county-specific found this pass,Unknown - not tested,HTML (MPTS),Unknown - not tested,Unknown - not tested,Unknown - not tested,Unknown - needs_review,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Amador,,,,,"Bid4Assets (storefront/AmadorMar26) - confirmed real, settlement deadline March 16, 2026","2026 tax sale confirmed (settlement deadline March 16, 2026) - parcel-level list not yet extracted",,Not started,See county-signal-exception-log.csv - excess proceeds source not yet confirmed,,,,"needs_review - see Exception Log, not yet found a county-specific document",,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/amador/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL - Bid4Assets, March 2026 sale, settlement deadline March 16 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,Direct-check amadorgov.org tax-sale-information page; needs Bid4Assets fix too
Butte,"MPTS (common1.mptsweb.com/mbap/butte/asr/AsrPrint) - free, live, no CAPTCHA",Same MPTS tax bill system as assessor,"Tyler EagleWeb - real recorder chain data (grantee names, doc numbers) confirmed in butte_SCORED_AUCTION_MATCHES_CALL_SHEET.csv (prior-session work, not tonight's discovery)",Not specifically explored,Bid4Assets (confirmed live; county's own yaml scaffolding incorrectly says GovEase),"Aug 7-10, 2026 (occurred - 104 parcels, ~$3.09M total assessed value after correction)","Real, corrected 104-parcel batch in butte/delivery/",Working - regen_butte_dossiers.py (merges 2 real verified CSVs),"Source CSV still contains a redeemed parcel (Gridley, 022-210-078-000) with no redemption field wired into the regen script - do not bulk-regenerate without fixing this first",High - both sites verified (assessor + real recorder chain data),$0,Not built,"Not built yet (auction just completed Aug 7-10, 2026 - now relevant)",None encountered,Tyler EagleWeb chain/grantee data (prior session),None known,"Not used (real data came from existing verified CSVs, not a single official doc)",2026-08-07,"Yes - real, via existing verified CSVs (butte_auction_all_105_enriched.csv + butte_SCORED_AUCTION_MATCHES_CALL_SHEET.csv)","Yes - MPTS, live, free, no CAPTCHA (proven, this is the reference pipeline)",Yes - same MPTS tax bill system,"Yes - Tyler EagleWeb, real chain data (grantee names, doc numbers) already used","Yes - Bid4Assets, real 104-parcel corrected batch, auction Aug 7-10 2026 (occurred)","Yes - proven (caught a real redeemed parcel, Gridley, that was wrongly ranked #1 before correction)",HTML (MPTS) + CSV (existing verified deliverables),"High - real recorder chain data, doc numbers, dates","Low - no CAPTCHA, no bot protection encountered","104 real parcels, $3.09M total assessed value, 18 out-of-state owners (real, delivered)",Green (REFERENCE PIPELINE),None active. Auction occurred Aug 7-10 2026 - now shifts to excess-proceeds signal.
Calaveras,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/calaveras/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL - Bid4Assets, re-offer auction deadline Jan 29 2026",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Colusa,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL, DIFFERENT PROCESS - Sealed Bid Sale (not live online auction), Nov 5 2025. Real 'Results' page + '2025 Tax Sale Results' doc + real 'Parties of Interest' PDF exist.",Unknown - not tested,"PDF (compressed/binary - needs proper decoder, not plain WebFetch)","Most promising lead of this batch - Parties of Interest PDF structurally similar to Sonoma's high-value pattern, but content NOT yet extracted (binary/compressed PDF, WebFetch couldn't decode)",Unknown - not tested,Unknown - not tested,"Yellow - most promising in this batch, worth a real follow-up pass",Re-fetch the Parties of Interest PDF (countyofcolusaca.gov/DocumentCenter/View/19919) with pypdf or similar proper decoder instead of WebFetch
Contra Costa,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED NOT on MPTS 2026-08-08 (direct httpx test, both common1/common2 hosts, base path) - prior yaml guess of 'mpts' backend for this county is WRONG if it said so, or county genuinely uses a different system",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL - GovEase (not Bid4Assets), Feb 25 2026 auction",Unknown - not tested,GIS/API (ArcGIS),"Real Excess Proceeds Claim Policy PDF exists, not yet extracted for parcel-level content",Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Del Norte,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/delnorte/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED REAL - real Tyler EagleWeb disclaimer page found at delnortecountyca-web.tylerhost.net,"CONFIRMED REAL - GovEase, May 15 2026 + June 12 2026 re-offer",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
El Dorado,,,,,,,,,,,,,,,,,,2026-08-08 (discovery pass batch 1 - real live checks + web search),Unknown - not tested,"CONFIRMED LIVE 2026-08-08 (direct httpx test, base path only, no APN needed): real MPTS system at common1.mptsweb.com/mbap/eldorado/asr/ - replaces prior unverified yaml guess",Unknown - not tested,CONFIRMED NOT on Tyler DNS pattern,"CONFIRMED REAL - Bid4Assets, Nov 6 2026 (note: also a separate timeshare auction same day - don't conflate), $3,000 deposit requirement",Unknown - not tested,HTML (MPTS) - CONFIRMED,Unknown - not tested,Unknown - not tested,Unknown - not tested,Yellow,"Not yet tested this session. Next: confirm assessor endpoint live with a real APN, search for an official auction/excess-proceeds document before building anything."
Fresno,"assrmaps.co.fresno.ca.us/binlookup/ParcelLookup.aspx - free, live, NO bot protection at all. APN format: Book-Page-Parcel (3-3-2 digits).",Not separately explored - min bid comes directly from the official Board resolution,"fresnocountyca-web.tylerhost.net - real Tyler self-service portal. Disclaimer gated by REAL Google reCAPTCHA v2, confirmed blocked even after directly clicking the checkbox with a stealth browser.",Not explored,Realauction.com,"Sept 10-11, 2026 (confirmed via Resolution 26-245, File 26-0600, adopted 2026-06-16)",Full official 159-parcel list parsed from the resolution PDF; 158/159 live-verified,Working - fresno_real_pull.py (assessor). No working recorder connector.,DOUBLE WALL: owner lookup removed by CA law Jan 2025 (no public APN-to-owner match) AND recorder is reCAPTCHA-blocked - owner name is not obtainable for this county right now by any method tried,Financial data: high (158/159 live-verified). Owner verification: zero.,$0 for assessor. Recorder needs a paid service or manual solve (same as Tehama).,Not built,Not built yet,None on assessor; Google reCAPTCHA v2 on recorder,Untested past the disclaimer page (blocked),"YES - confirmed real, CA Gov Code 6254.21/7928.205 pattern, county removed public lookup Jan 2025","YES - Board of Supervisors Resolution 26-245 (File 26-0600), real signed PDF",2026-08-08,"Yes - full official 159-parcel list, parsed from a real Board of Supervisors resolution PDF","Yes - assrmaps.co.fresno.ca.us, live, free, ZERO bot protection",Yes - same official resolution gives default case numbers + min bids directly,"BLOCKED - Tyler self-service, real Google reCAPTCHA v2, confirmed blocked even after direct checkbox click test","Yes - Realauction.com, Sept 10-11 2026, real official Resolution 26-245 (File 26-0600)",Not tested (no repeat-check built),PDF (official resolution) + HTML (assessor),High for financial data (158/159 live-verified); ZERO for owner (also legally restricted - CA law removed public lookup Jan 2025),Low for assessor (no bot protection at all); recorder is a hard wall,"158 real parcels, real official min bids, but owner-unverified for all - dossier product limited to financial-only unless recorder solved","Yellow - financial chain proven and excellent (best official-source find of the night), owner-identity chain broken (legal + technical)",Same recorder reCAPTCHA blocker as Tehama. Owner lookup is ALSO permanently legally restricted (Jan 2025 CA law) - this one has no future fix.
